_id,id,AgencyName,PrimaryManagerFirst,PrimaryManagerLast,PrimaryManagerEmail,AgencyFacebookLink,AgencyTwitterLink,AgencyPhone,Address,AgencyAddress,Addition,Street Address,AgencyCity,AgencyState,AgencyPostal,AgencyUrl,WhatWeDo,longitude,latitude
16,18,Arts Fair on the Square,Lee,Burckes,manager@artsfair.org,https://www.facebook.com/BTownArtsFair/,,1-812-334-1188,"107 W 9th St, Bloomington, IN, 47404",107 W 9th St,c/o BPP,107 W 9th St,Bloomington,IN,47404,http://artsfair.org,"The mission of Arts Fair on the Square is to showcase fine art and craft of the highest quality, connect artists with the art-buying community, and promote commitment to the arts through a variety of interactive arts experiences.",-86.534876,39.170455
17,19,Autumn Hills Alzheimer's Special Care Center,Hannah,Arthur,hannah.arthur@jeaseniorliving.com,https://www.facebook.com/Autumn-Hills-Alzheimers-Special-Care-Center-1019138048105468/,,1-812-335-4655,"3203 Moores Pike, Bloomington, IN, 47401",3203 Moores Pike,,3203 Moores Pike,Bloomington,IN,47401,http://jeaseniorliving.com,We are a residential Alzheimer's care facility committed to being the leader in providing quality personal services for our residents while honoring the experience of aging.,-86.4939,39.15099
18,21,Batchelor Middle School Library,Jaime,Burkhart,jburkhar@mccsc.edu,https://www.facebook.com/batchelorlibrary/,,1-812-330-7763,"900 W Gordon Pike, Bloomington, IN, 47403",900 W Gordon Pike,,900 W Gordon Pike,Bloomington,IN,47403,https://www.mccsc.edu/Domain/22,The Batchelor Middle School Library will strive to be an integral part of the instructional program dedicated to providing our school community with the best possible resources and services.,-86.543048,39.124552
19,22,Be A Santa To A Senior,Shani,Hessenthaler,hr@home-instead.com,https://www.facebook.com/BeASantaToASenior/,,1-812-961-2222,"676 S. College Avenue, Bloomington, IN, 47403",676 S. College Avenue,,676 S College Ave,Bloomington,IN,47403,http://www.beasantatoasenior.com,The purpose of Home Instead Senior Care's community service program 'Be a Santa to a Senior' is to positively impact the community by providing holiday cheer and gift giving to seniors who are least likely to receive a present during the holiday season are lonely or financially challenged and often reside in nursing home facilities.,-86.535976,39.158084
20,23,Be Golden,Rachel,Glago,rachel@begoldenstaygolden.com,https://www.facebook.com/begolden.staygolden/,,,"212 W 4th St, Bloomington, IN, 47404",212 W 4th St,,212 W 4th St,Bloomington,IN,47404,http://begoldenstaygolden.com/,"Our mission is to provide a collaborative space to inspire and empower individuals to lead their most authentic livesto be golden. Through conversation and connection at our multi-day experience, let's spark that pivotal change and push one another to live unapologetically.",-86.535621,39.165608
21,24,be.CAUSE Gallery & Studio,Brianne,Harness,brianne@becausebloomington.com,https://www.facebook.com/pg/BEcause-426133924197608/about/?ref=page_internal,,1-318-751-2948,"314 E Kirkwood Ave, Bloomington, IN, 47408",314 E Kirkwood Ave,c/o The Pourhouse,314 E Kirkwood Ave,Bloomington,IN,47408,http://www.becausebloomington.com/,"be.CAUSE is an art gallery and gift shop located in Bloomington, Indiana.",-86.530311,39.166256
22,25,Bell Trace Health and Living Center,Susi,Turner,sturner@cardon.us,https://www.facebook.com/pages/Bell-Trace-Health-Living-Center/948481388527462,,1-812-323-2858,"725 N. Bell Trace Circle, Bloomington, IN, 47408",725 N. Bell Trace Circle,,725 N Bell Trace Cir,Bloomington,IN,47408,http://www.belltrace.com/,A for-profit residential community with skilled nursing care and rehabilitation services.,-86.489903,39.169119
23,26,Bell Trace Senior Living Community,Melissa,Davis,mdavis@cardon.us,https://www.facebook.com/BellTrace/,,1-812-332-2355,"800 N. Bell Trace Circle, Bloomington, IN, 47408",800 N. Bell Trace Circle,,800 N Bell Trace Cir,Bloomington,IN,47408,http://www.belltrace.com/,"A for-profit residential community with independent living, assisted living, and skilled nursing care.",-86.489903,39.169119
24,27,Best Buddies Indiana,Kristen,Johnson,kristenjohnson@bestbuddies.org,https://www.facebook.com/bestbuddies.in/,https://twitter.com/BestBuddiesIN,1-317-436-8440,"8604 Allisonville Rd.  Ste. 165, Indianapolis, IN, 46250",8604 Allisonville Rd.  Ste. 165,Ste. 165,8604 Allisonville Rd  Ste 165,Indianapolis,IN,46250,http://www.bestbuddiesindiana.org,The mission of Best Buddies is to establish a global volunteer movement that creates opportunities for one-to-one friendships integrated employment and leadership development for people with intellectual and developmental disabilities.,-86.076325,39.913225
25,28,Best Buddies International,Anna,Berman,MiaNoller@bestbuddies.org,https://www.facebook.com/bestbuddies/,https://twitter.com/BestBuddies,1-317-436-8440,"100 Southeast Second St, Miami, FL, 33131",100 Southeast Second St,Suite 2200,100 Southeast Second St,Miami,FL,33131,https://bestbuddies.org,"Best Buddies International was founded by Anthony Shriver, son of Eunice Shriver(founder of Special Olympics) in 1989 to help promote the inclusion of people with IDD through three areas- friendship, jobs, and leadership development.",-80.191685,25.772429
26,29,Bethel African Methodist Episcopal Church,Rochelle,Laffoon,rochellelaffoon@gmail.com,https://www.facebook.com/pages/Bethel-AME-Church/186760778060817?sk=timeline,,1-812-334-3216,"302 N Rogers St, Bloomington, IN, 47404",302 N Rogers St,,302 N Rogers St,Bloomington,IN,47404,http://www.bethelamebloomington.com/,"Bethel AME Church is a African Methodist Episcopal church in Bloomington, Indiana.",-86.538673,39.168617
27,30,Big Brothers Big Sisters Of South Central Indiana,Mark,Voland,mvoland@bigsindiana.org,https://www.facebook.com/BBBSSCI/,https://twitter.com/bbbssci,1-812-334-2828,"501 N. Walnut Street, Bloomington, IN, 47404",501 N. Walnut Street,,501 N Walnut St,Bloomington,IN,47404,http://www.bigsindiana.org,"The mission of Big Brothers Big Sisters is to provide children facing adversity with strong and enduring professionally supported one-to-one relationships that change their lives for the better, forever.",-86.533966,39.170616
28,32,Bloomington 5K Breakaway,Jo,Throckmorton,jo@mag7raceseries.com,,,1-812-272-4789,"322 E. Kirkwood Ave, Bloomington, IN, 47401",322 E. Kirkwood Ave,Soma Coffee House,322 E Kirkwood Ave,Bloomington,IN,47401,http://www.bloomingfoods.coop,Sixth annual 5K Breakaway raises funds for Sycamore Land Trust.,-86.530083,39.16626
29,35,Bloomington Boogies: The Bloomington Blues & Boogie Woogie Piano Festival,Craig,Brenner,craigbrennerboogies@gmail.com,https://www.facebook.com/BloomingtonBoogies/?fref=ts,,1-812-334-0415,"1101 South Fess Ave., Bloomington, IN, 47401",1101 South Fess Ave.,,1101 S Fess Ave,Bloomington,IN,47401,http://bloomingtonboogies.com/,"The Bloomington Blues & Boogie Woogie Piano Festival is an annual music and dance festival in Bloomington, IN, featuring widely acclaimed blues and boogie woogie piano players, professional swing dancers, food and beverages. The festival includes free and ticketed performances at multiple venues as well as free educational components.The first festival took place in August of 2015, and featured pianists Bob Seeley, Marcia Ball, Carl Sonny Leyland, Bruce Sunpie Barnes, Liz Pennock and Dr. Blues, Craig Brenner, Ross Martinie Eiler, and Michelle Brentano; a rhythm section of Gordon Bonham on guitar, Joe Donnelly on sax, Ron Kadish on bass and Dan Hosteler on drums; and dancers Josh Davis and Amanda Guieb. Click to view photos and videos from the first Bloomington Boogies. The second festival was Aug. 14 and 15, 2016, with ticketed performances on Aug. 14, at the Ivy Tech John Waldron followed by informal performances with no cover at Bloomington Boogies After Hours at Malibu Grill on the Square and GRAZIE! Italiano. The festival concluded with a free concert at Templeton Elementary on Aug. 15, followed by a free workshop for young piano students! Visit our Artists page to see who was part of the second annual Bloomington Boogies Festival!The third annual festival in August of 2017 was a big success!  Visit the festival website for more information.",-86.525688,39.154064
30,36,Bloomington Breast Cancer Awareness Walk,,,btowncancerwalk@gmail.com,,,1-812-333-7682,"500 S. Landmark Ave, Bloomington, IN, 47403",500 S. Landmark Ave,c/o SIRA,500 S Landmark Ave,Bloomington,IN,47403,http://siraonline.com/walk.htm,The main focus is awareness rather than fundraising for local breast cancer causes.,-86.55502,39.161753
31,37,Bloomington Community Band,Jerry,Jerome,chair@bloomingtoncommunityband.org,https://www.facebook.com/BloomingtonCommunityBand/,https://twitter.com/BlgtnCommBand,1-812-323-0073,"1803 E Maxwell Ln, Bloomington, IN, 47402",1803 E Maxwell Ln,PO Box 237,1803 E Maxwell Ln,Bloomington,IN,47402,http://www.bloomingtoncommunityband.net,"The Bloomington Community Band exists: to contribute positively to the musical literacy and musical environment of the community it serves, whether local or otherwise, to provide opportunity and training for individual musical expression and growth among the membership, to reaffirm the community concert band position in American music.",-86.511444,39.158028
32,38,Bloomington Community Bike Project,Hugh,Farrell,farr.hugh@gmail.com,https://www.facebook.com/Bloomington-Community-Bicycle-Project-188409741179290/,,,"216 N. Madison St., Bloomington, IN, 47404",216 N. Madison St.,,216 N Madison St,Bloomington,IN,47404,https://www.btownbikeproject.org/,"The Bloomington Community Bike Project is a local cooperative that helps people recycle bikes into the community. Our organization is a project of The Center of Sustainable Living, a local non-profit 501(c)3 organization.",-86.537064,39.168285
33,39,Bloomington Community Orchard,Franklin,Anderson,getinvolved@bloomingtoncommunityorchard.org,https://www.facebook.com/BloomingtonCommunityOrchard/,https://twitter.com/BtownOrchard,1-734-604-1174,"2120 S. Highland Ave., Bloomington, IN, 47401",2120 S. Highland Ave.,,2120 S Highland Ave,Bloomington,IN,47401,http://www.bloomingtoncommunityorchard.org,"Bloomington Community Orchard is an organization devoted to growing fruit for the community and growing our orcharding skills through educational opportunities. The publicly owned orchard is maintained by volunteers, and the harvest is available to everyone in the community.",-86.517595,39.138128
34,40,Bloomington Creative Glass Center,Abby,Gitlitz,bloomingtoncreativeglasscenter@gmail.com,https://www.facebook.com/BloomingtonCreativeGlassCenter/,,1-812-345-2470,"1407 S. Park Ave, Bloomington, IN, 47401",1407 S. Park Ave,,1407 S Park Ave,Bloomington,IN,47401,http://www.bloomingtoncreativeglasscenter.org,"The Bloomington Creative Glass Center is a nonprofit organization committed to bringing affordable, high quality education about glass to people in southern Indiana. It is open to any and all who have an interest in hot glass regardless of age or experience.",-86.523438,39.151138
35,41,Bloomington Developmental Learning Center,Natalie,Gray,director@bdlc.org,https://www.facebook.com/WeAreBDLC/?hc_ref=SEARCH,,1-812-336-6600,"1807 S. Highland Ave., Bloomington, IN, 47401",1807 S. Highland Ave.,,1807 S ?Highland Ave,Bloomington,IN,47401,http://bdlc.org/,,-86.516594,39.146244
36,42,Bloomington Early Music Festival (BLEMF),Sung,Lee,sualee@indiana.edu,https://www.facebook.com/blemf/,,1-310-770-3714,", Bloomington, IN, 47402",,PO Box 734,,Bloomington,IN,47402,http://blemf.org,"The Bloomington Early Music Festival encourages and celebrates historically informed performance with an annual festival, seasonal concerts, numerous educational events in the immediate regions, and by committed support for emerging performing artists.",-86.531389,39.14621
37,43,Bloomington Food Policy Council,Nikki,Wooten,bfpc@bloomingtonfpc.org,https://www.facebook.com/BtownFPC/,,1-901-496-3182,", Bloomington, IN, 47407",,PO Box 7542,,Bloomington,IN,47407,http://bloomingtonfpc.org,"The Bloomington Food Policy Council exists to increase and preserve access to sustainably produced, locally grown, healthful food for all residents in Monroe and surrounding counties.",-86.454639,39.24588
38,44,Bloomington Graduation School,Rob,Moore,rmoore@mccsc.edu,https://www.facebook.com/The-Bloomington-Graduation-School-163123260386503/,,1-812-330-7708,"705 W. Coolidge Dr., Bloomington, IN, 47403",705 W. Coolidge Dr.,,705 W Coolidge Dr,Bloomington,IN,47403,http://bgs.mccsc.edu/,Improves graduation opportunities for juniors and seniors in the MCCSC district.,-86.54155,39.141282
39,45,Bloomington High School North,Angie,Cannon,acannon@mccsc.edu,https://www.facebook.com/BloomingtonHighSchoolNorth/?hc_ref=SEARCH&fref=nf,,1-812-330-7724,"3901 N. Kinser Pike, Bloomington, IN, 47404",3901 N. Kinser Pike,,3901 N Kinser Pike,Bloomington,IN,47404,http://www.mccsc.edu/Domain/27,"School must be a safe nurturing and mutually respectful community that accepts diversity of experience, ability, culture, race, age, gender, sexual orientation and religion of all individuals. A rigorous, relevant curriculum in all disciplines is essential to student success. Education is the shared responsibility of all parents, guardians, students, and staff in partnership with the larger community. Education prepares students to make responsible choices necessary for a life in a civil, democratic society. Education provides students the opportunity to learn the skills necessary for post secondary education, employment and personal growth in the context of being a life-long learner. The educational community must assure the essential resources necessary for student success are available to all.",-86.547255,39.200988
40,46,Bloomington High School South,Joe,Doyle,nvoskuil@mccsc.edu,https://www.facebook.com/bloomingtonhighschoolsouth/,,1-812-330-7714,"1965 S. Walnut St., Bloomington, IN, 47401",1965 S. Walnut St.,,1965 S Walnut St,Bloomington,IN,47401,http://www.south.mccsc.edu,Bloomington South is an award winning comprehensive four-year high school with an enrollment of approximately 1 700 students. Those who volunteer here will be glad to see that service opportunities for our Panther students and the community are alive and well. Bloomington High School South strives to meet the needs of all students in order to produce engaged and informed citizens who participate in community excel in higher education and succeed in the work place. When students struggle we believe in providing timely systemic and directive opportunities to give them support.,-86.532032,39.14504
41,47,Bloomington Hospital Foundation,Lauren,Dexter,ldexter1@iuhealth.org,https://www.facebook.com/bloomingtonhospfoundation/,https://twitter.com/IUHbhf,1-812-353-5873,"405 North Rogers, Bloomington, IN, 47403",405 North Rogers,,405 N Rogers St,Bloomington,IN,47403,http://www.bloomingtonhospitalfoundation.org,The Bloomington Hospital Foundation is an independent 501 (c) 3 not for profit organization. Our mission is to support Indiana University Health Bloomington Hospital to be one of the best hospitals in the State of Indiana.,-86.539169,39.169876
42,48,Bloomington Housing Authority,Daniel,Harmon,dharmon@blha.net,https://www.facebook.com/bhaindiana,,1-812-339-3491,"1007 N. Summit St., Bloomington, IN, 47404",1007 N. Summit St.,,1007 N Summit St,Bloomington,IN,47404,http://www.bhaindiana.net/,Administers public funds using available resources to offer a variety of affordable housing opportunities and supportive services that foster stability and self sufficiency through creative partnerships while servicing our customers with the highest level of professionalism and respect.,-86.54,39.18
43,49,Bloomington Housing Authority Resident Council,sherry,clay,raven51516@yahoo.com,,,1-812-727-6274,"1007 North Summit Street, Bloomington, IN, 47404",1007 North Summit Street,,1007 N Summit St,Bloomington,IN,47404,http://BHARC,"We are a group of five public housing residents who take residents' concerns, suggestions, etc. to the staff of the Bloomington Housing Authority.",-86.54,39.18
44,50,Bloomington Indiana Scholastic Chess Club (BISCC),Cristian,Medina,btownscholasticchess@gmail.com,https://www.facebook.com/bloomingtonscholasticchess/,,,", Bloomington, IN, 47407",,PO Box 8422,,Bloomington,IN,47407,http://www.biscc.org/,"The Bloomington Indiana Scholastic Chess Club (BISCC) is a 501 (c) (3) non-profit organization for young chess enthusiasts who are interested in competitive chess and skill building. In addition to chess skills, we also emphasize good citizenship, sportsmanship and leadership. BISCC is a USCF Affiliate.",-86.454639,39.24588
45,51,Bloomington Lions Club,Monica,Clemons,clemons.mm@sbcglobal.net,https://www.facebook.com/BloomingtonLionsClub/,,1-812-339-3738,", Bloomington, IN, 47407",,PO Box 5962,,Bloomington,IN,47407,http://www.bloomingtonlions.org,"Meets 2nd & 4th Tuesdays at the American Legion at 6:00 p.m. Proceeds from projects fund Lions Club humanitarian projects such as: Lions Eye Bank, Cancer Research, area non-profits, youth programs, etc.",-86.454639,39.24588
46,52,Bloomington Meals On Wheels  Inc.,Kathy,Romy,blm-mow@iuhealth.org,https://www.facebook.com/bloomingtonMOW/,,1-812-355-8224,"727 West First St, Bloomington, IN, 47402",727 West First St,PO Box 1149,727 W 1st St,Bloomington,IN,47402,http://www.bloomingtonmealsonwheels.org,"Founded in 1973 our program provides nutritious meals to homebound people who are unable to cook for themselves due to illness, injury or disability.  We ensure that our clients receive two nutritious meals a day delivered by a friendly volunteer.  Meals on Wheels reduces healthcare costs by allowing our clients to remain in their homes.",-86.541931,39.159142
47,53,Bloomington Nursing & Rehab Center,Lee,Fleener,Bloomington.activitydirector@chosenhc.com,,,1-812-336-1055,"120 E. Miller Dr., Bloomington, IN, 47401",120 E. Miller Dr.,,120 E Miller Dr,Bloomington,IN,47401,http://www.bloomingtonnursingandrehab.com/,"Bloomington Nursing and Rehab is a small, for-profit, 38 bed nursing facility with an in house physical and occupational therapy department, full time nursing staff, social services, and activities departments. We have many admits from the young adult population as well as senior citizens.",-86.529839,39.147316
48,54,Bloomington Nursing and Rehabilitation Center,Tessa,Tipton1,bloomington.socserv@chosenhc.com,https://www.facebook.com/Bloomington-Nursing-And-Rehab-155115881176654/,,1-812-336-1055,"120 E. Miller Dr., Bloomington, IN, 47401",120 E. Miller Dr.,,120 E Miller Dr,Bloomington,IN,47401,http://www.bloomingtonnursingandrehab.com/,Provides 24-hour skilled nursing as well as rehabilitation services. Encourages psychosocial well-being by caring staff aimed at restoring health and enhancing quality of life for residents.,-86.529839,39.147316
49,55,Bloomington Parks and Recreation,Sarah,Owen,parksvol@bloomington.in.gov,https://www.facebook.com/Bloomington-Parks-and-Recreation-Department-205170086180041/,,1-812-349-3700,"401 N. Morton St, Bloomington, IN, 47402",401 N. Morton St,Suite 250,401 N Morton St,Bloomington,IN,47402,https://bloomington.in.gov/parks/volunteer,The City of Bloomington Parks and Recreation Department volunteers provide valuable services to the community by assisting in may events and programs in a variety of ways. Volunteers can participate on a regular basis or on occasion as desired. There are many opportunities to choose from and an assortment of times and days available. Volunteer opportunities exist in the following areas: Youth Programs  Environmental Education  Coaching Sports  Community Gardening  Farmers Market  Health and Wellness Natural Resources  Community Events  Afterschool Program REGISTER TO VOLUNTEER HERE: http://bloomington.in.gov/parksvol,-86.536125,39.169515
50,56,Bloomington Peace Choir,Leah,Savion,lsavion@indiana.edu,https://www.facebook.com/BloomingtonPeaceChoir/,,1-812-369-6734,"800 Bell Trace Cir, Bloomington, IN, 47408",800 Bell Trace Cir,,800 N Bell Trace Cir,Bloomington,IN,47408,,The Bloomington Peace Choir is a community choir that brings people together for the joy of singing and sharing songs from around the world.,-86.490285,39.169179
51,57,Bloomington Playwrights Project,Kaisha,Cyliax,boxoffice@newplays.org,https://www.facebook.com/BloomingtonPlaywrightsProject/,https://twitter.com/bloomingplays,1-812-334-1188,"107 W. 9th St., Bloomington, IN, 47404",107 W. 9th St.,,107 W 9th St,Bloomington,IN,47404,http://www.newplays.org,A vibrant non-profit theatre dedicated to producing new plays and providing theatre education for all ages. Featuring: School of Dramatic Arts Ensemble Artists playwriting contests and great theatre year-round!,-86.534876,39.170455
52,58,Bloomington PRIDE,Jenn,Robison,jenn@bloomingtonpride.org,https://www.facebook.com/bloomingtonpride/,https://twitter.com/btown_pride,1-812-250-9886,", Bloomington, IN, 47402",,PO Box 554,,Bloomington,IN,47402,http://bloomingtonpride.org,"Through community-based events and services, Bloomington PRIDE creates safe and inclusive spaces, celebrates queer arts, and challenges stereotypes to enrich LGBTQA community culture.",-86.531389,39.14621
